biz_name,aspect,positive_aspect_count,negative_aspect_count,positive_aspect_ratio
Lazeez Indian cuisine,ambience,11,0,1.0
Brakeman's Cafe,food,34,1,0.9714285714285714
Bamboo,service,58,13,0.8169014084507042
Richie's Cafe,ambience,4,0,1.0
Lukes Coney Island,ambience,10,2,0.8333333333333334
Nonna's A Giunta Tradition,service,27,2,0.9310344827586207
El Rustico,service,40,4,0.9090909090909091
Songkran Thai Restaurant,ambience,8,0,1.0
Figaro's,ambience,5,0,1.0
Vincent's Brick Oven,food,57,22,0.7215189873417721
Napoli's Pizzeria & Restaurant,ambience,0,0,
Archie's Place,food,16,3,0.8421052631578947
Mannino's Cucina Italiana,service,75,11,0.872093023255814
Bocci Wine Bar,ambience,20,5,0.8
Maple Shade Pizza,food,4,0,1.0
Bacco Restaurant,price,16,4,0.8
Emmy Squared - Queen Village,service,86,1,0.9885057471264368
Ugo's Pizza,food,17,0,1.0
Passyunk Avenue Philly Bagels,service,19,4,0.8260869565217391
Fleur De Lilies,service,82,16,0.8367346938775511
Old Chicago Pizza & Taproom,service,69,10,0.8734177215189873
Village Inn Pancake House,service,21,0,1.0
Dynasty Buffet Sushi & Hibachi,food,20,8,0.7142857142857143
Restaurant 51 Tap & Spirit,ambience,22,6,0.7857142857142857
Country Club Diner & Restaurant,food,12,2,0.8571428571428571
Fuji San,ambience,7,0,1.0
D's Place,ambience,11,3,0.7857142857142857
Pudge's II Jeffersonville,price,2,0,1.0
Long Wongs,ambience,0,0,
Hot Spot Pizza,food,9,5,0.6428571428571429
Cuban Mexican Restaurant,food,41,17,0.7068965517241379
Yamaki Sushi Bar,price,11,1,0.9166666666666666
Great Taste,price,5,0,1.0
Plum Tomato,price,19,1,0.95
Nagomi,food,29,4,0.8787878787878788
McMaster's Steak & Hoagie,price,6,3,0.6666666666666666
ACTQ,food,8,0,1.0
Valley Forge Turf Club,ambience,2,1,0.6666666666666666
Restaurant 51 Tap & Spirit,service,22,2,0.9166666666666666
Kiin Essentially Thai,ambience,35,1,0.9722222222222222
Little Caesar's,food,3,5,0.375
Arigato Japanese Steak House,food,32,12,0.7272727272727273
Philly Hot Dog Cafe,ambience,4,0,1.0
Jeans Cafe,ambience,22,5,0.8148148148148148
Olympia Greek Cuisine,service,36,1,0.972972972972973
The Boundary American Grille & Tavern,price,5,0,1.0
Oobatz Restaurant,ambience,12,7,0.631578947368421
Ciones Italiano,service,2,0,1.0
El Rinconsito,food,8,3,0.7272727272727273
Beef Connection Steakhouse,ambience,1,0,1.0
Carmelo's Pizza,service,3,0,1.0
Great Taste,ambience,1,2,0.3333333333333333
Greenhill Deli-Pizza,ambience,5,0,1.0
Charlie's Pizzeria,food,51,5,0.9107142857142857
New London Pizza,price,8,0,1.0
Ameritage Bistro,service,2,1,0.6666666666666666
Hing San,price,2,1,0.6666666666666666
Dynasty Buffet,service,31,7,0.8157894736842105
Los Catrines Cocina Mexicana,service,26,2,0.9285714285714286
Nipper's Pub,food,22,5,0.8148148148148148
Ravello Pizzeria,service,20,3,0.8695652173913043
Three Stones Pub & Family Grill,price,6,0,1.0
Palace Diner Restaurant,ambience,26,5,0.8387096774193549
Northland Chop Suey Chinese Restaurant,food,9,0,1.0
Lil Net’s Home Style Cooking,price,2,0,1.0
Café De Ville,ambience,24,3,0.8888888888888888
Mechanic Street Station,food,22,5,0.8148148148148148
Crazy Burrito,ambience,11,5,0.6875
Wolf Street Pizza & Grill,price,13,1,0.9285714285714286
Daisy Dukes Diner,service,10,2,0.8333333333333334
Mexicali Grill,price,7,2,0.7777777777777778
Chowing at Bagger Dave's,ambience,1,0,1.0
Totopos Mexican Grill,service,18,2,0.9
Lettie's Kitchen,service,16,0,1.0
New Orleans Hambuger & Seafood,food,28,9,0.7567567567567568
Murphy's Seafood Bar & Grill,service,9,1,0.9
Upper Dublin Bagel Squad,service,9,1,0.9
Peter Piper Pizza,price,3,0,1.0
Little Mexico Steakhouse,service,40,20,0.6666666666666666
Karina's,service,7,2,0.7777777777777778
Landis Restaurant & Catering,price,3,0,1.0
Thai Spice Restaurant,,18,2,0.9
Cochon,,1070,178,0.8573717948717948
Pho 20,,50,7,0.8771929824561403
Chava's Mexican Restaurant,,187,22,0.8947368421052632
Tacodelphia,,37,3,0.925
Twist & Shout 50's Diner,,17,10,0.6296296296296297
Dim Sum Mania,,17,1,0.9444444444444444
El Diablo Burritos,,61,8,0.8840579710144928
El Limón,,23,6,0.7931034482758621
Athens on 86th,,31,2,0.9393939393939394
Otaku South Ramen,,12,7,0.631578947368421
Don Memo Mexican Restaurant,,29,9,0.7631578947368421
California Mexican Food,,20,7,0.7407407407407407
Snap Custom Pizza,,91,11,0.8921568627450981
Fly Bar & Restaurant,,81,13,0.8617021276595744
Mad Beach Craft Brewing,,99,20,0.8319327731092437
Los Catrines Cocina Mexicana,,15,1,0.9375
West Ave,ambience,17,6,0.7391304347826086
Nick Filet,,16,3,0.8421052631578947
Manayunk Diner,,12,7,0.631578947368421
Tropical Smoothie Cafe,,33,14,0.7021276595744681
Mi Pais,,51,7,0.8793103448275862
Gen X Tavern,,39,8,0.8297872340425532
Bellas Cafe,,5,2,0.7142857142857143
Popcorn Bistro,,4,0,1.0
Ewing Diner,,18,1,0.9473684210526315
Tijuana Tacos,,38,4,0.9047619047619048
Paleteria Y Neveria La Michoacana,,10,1,0.9090909090909091
Ginger Lime,,17,2,0.8947368421052632
Taqueria El Pueblito,,81,11,0.8804347826086957
Ocean Blue Sushi Bar,,12,5,0.7058823529411765
Sausage Deli,,30,4,0.8823529411764706
Utage Japanese Restaurant,,0,0,
Spring Garden Pizza & Restaurant,,8,2,0.8
Ban Thai and Sushi Restaurant,,30,3,0.9090909090909091
Mexico City Grill,,16,2,0.8888888888888888
Sioux City Steakhouse,,18,9,0.6666666666666666
Thario's Kitchen,,23,1,0.9583333333333334
Everest Grill,,6,1,0.8571428571428571
Union 30,,12,2,0.8571428571428571
Mark Anthony Pizza,,11,1,0.9166666666666666
Arnoldi's Cafe,,42,5,0.8936170212765957
The Village Pub - Swedesboro,,31,8,0.7948717948717948
Tokyo Bay Japanese Restaurant & Sushi,,21,6,0.7777777777777778
H'Ville Grill,,15,2,0.8823529411764706
Margherita Pizzeria,ambience,15,3,0.8333333333333334
The Parrot Cafe,price,3,0,1.0
Core De Roma,,18,3,0.8571428571428571
Antojitos Latin Cravings,,25,1,0.9615384615384616
Casa Bella Trattoria,,15,4,0.7894736842105263
Poke & More Canada,,5,0,1.0
Common Grounds Coffeehouse,,15,0,1.0
Bardot Cafe,,39,1,0.975
Plant City Homestyle Buffet,,5,3,0.625
Stratton's Cafe,,14,5,0.7368421052631579
Plaza Azteca - Kennett Square,,26,5,0.8387096774193549
Hookah & Cafe,food,20,6,0.7692307692307693
The Restaurant at JNA Institute of Culinary Arts,,13,3,0.8125
Arsenal Game Room & Cafe,,0,0,
Bonks Bar,price,9,1,0.9
Angelo's Italian Kitchen,,16,0,1.0
Catch 202,,8,6,0.5714285714285714
FGL House,food,472,92,0.8368794326241135
Taqueria La Veracruzana,food,763,115,0.8690205011389521
PokeDoke,food,223,49,0.8198529411764706
On the Fly Deli,food,25,3,0.8928571428571429
Hippot Shabu Shabu,ambience,112,14,0.8888888888888888
Nook Bakery & Coffee Bar,price,27,4,0.8709677419354839
Trattoria Vittorio - Pottsown,service,38,2,0.95
Hong Kong Star Noodle House,food,85,11,0.8854166666666666
El Saguarito,ambience,38,16,0.7037037037037037
Tacos Jalisco Grill & Cantina,service,220,56,0.7971014492753623
Mugshots Coffeehouse & Cafe,food,191,39,0.8304347826086956
Kreis Restaurant,ambience,88,17,0.8380952380952381
Criollo Restaurant,food,543,97,0.8484375
Ray Stevens CabaRay Showroom,food,19,0,1.0
Don Pablo's,ambience,23,7,0.7666666666666667
Gumbo Shop,service,2217,237,0.9034229828850856
Marker 8 On the Water,food,131,31,0.808641975308642
Vincenzo Trattoria,food,244,47,0.8384879725085911
K & J Diner,price,7,0,1.0
Oishii,food,37,3,0.925
Jimmy's Pita & Poke,food,171,27,0.8636363636363636
Capriotti's Sandwich Shop,service,294,52,0.8497109826589595
Tanuki Kyoto Japanese Cuisine,food,131,32,0.803680981595092
Zio's Italian Market,food,135,19,0.8766233766233766
Itsuki Restaurant,ambience,26,2,0.9285714285714286
Taqueria Feliz,ambience,157,32,0.8306878306878307
Cafe Korea,food,441,32,0.9323467230443975
Tompkins Riverside,service,89,3,0.967391304347826
Hibachi Grill & Supreme Buffet,price,13,1,0.9285714285714286
House of Kabob,food,476,52,0.9015151515151515
Eulogy Belgian Tavern,ambience,216,77,0.7372013651877133
Pelican & Pig,food,202,46,0.8145161290322581
Dickey's Barbecue Pit,food,740,314,0.7020872865275142
Jimmy's Sushi Bar,food,351,44,0.8886075949367088
Hog Island Fish Camp,service,243,28,0.8966789667896679
3 Sisters Café,ambience,106,15,0.8760330578512396
Ruby Tuesday,price,53,14,0.7910447761194029
Healthy Garden & Gourmet Pizza,food,140,25,0.8484848484848485
Fiorella,ambience,62,4,0.9393939393939394
Upstares At Varalli,ambience,5,0,1.0
Everyday Good House,ambience,10,7,0.5882352941176471
Amber Indian Restaurant,ambience,69,11,0.8625
Mama Velia's Rustica Italiano,service,14,4,0.7777777777777778
Hunan Wok,food,57,40,0.5876288659793815
Boxwood Bistro,food,53,13,0.803030303030303
Sugar Love Chocolates,ambience,10,2,0.8333333333333334
Shogun Japanese Restaurant & Sushi Bar,price,79,18,0.8144329896907216
Lilly's Cocina Loca,price,2,1,0.6666666666666666
Sawasdee Thai Cuisine,food,321,51,0.8629032258064516
Sanook Thai Cuisine,ambience,85,7,0.9239130434782609
Satay Thai Grill,food,60,11,0.8450704225352113
Midtown II Restaurant,food,73,25,0.7448979591836735
China 1,food,153,60,0.7183098591549296
La Fogata Mexican Restaurant,service,22,0,1.0
Lucky's Market,food,115,14,0.8914728682170543
Blue Coast Burrito,ambience,64,22,0.7441860465116279
Yiannis Taverna Greek Restaurant,food,77,17,0.8191489361702128
Pho Tan Vietnamese Cuisine,ambience,21,5,0.8076923076923077
Erawan Thai Cuisine,ambience,157,40,0.7969543147208121
Condado Tacos,ambience,142,61,0.6995073891625616
Pan Filo's,ambience,49,11,0.8166666666666667
Sushi Bistro,food,96,22,0.8135593220338984
Alla Spina,service,239,32,0.8819188191881919
Christine's House of Kingfish Barbecue,food,97,7,0.9326923076923077
NOLA Cantina,food,90,25,0.782608695652174
Guy's Po Boys,food,411,50,0.8915401301518439
Beaucoup Eats,ambience,15,3,0.8333333333333334
Draught Horse Pub & Grill,ambience,57,16,0.7808219178082192
Nora Lee's,food,269,92,0.7451523545706371
I Don't Care Bar & Grill,food,9,1,0.9
Sumo Sushi,food,121,10,0.9236641221374046
Tokyo Fusion Japanese Restaurant,price,1,0,1.0
Small Batch Kitchen Cafe and Market,food,8,0,1.0
French Toast,service,284,49,0.8528528528528528
Kona Jacks Fish Market & Sushi Bar,food,298,76,0.7967914438502673
Pho Nguyen,price,12,2,0.8571428571428571
Hibachi of Valley Forge,service,55,20,0.7333333333333333
Jade Garden,ambience,30,6,0.8333333333333334
The Optimist - Nashville,ambience,130,6,0.9558823529411765
The Olive Restaurant,ambience,2,0,1.0
Curry House Restaurant,price,4,0,1.0
Matassa's Market,price,11,0,1.0
Rincon Brewery,price,39,7,0.8478260869565217
Giovanni's Pizza Carpinteria,food,126,48,0.7241379310344828
Moe's Southwest Grill,service,222,74,0.75
Mikado Japanese,food,259,55,0.8248407643312102
Sparky's Cafe,ambience,13,0,1.0
China Panda,food,62,23,0.7294117647058823
Lalo's,food,15,4,0.7894736842105263
Hayashi Sushi,food,70,5,0.9333333333333333
Roast City Riot,price,3,0,1.0
Veganish,service,33,3,0.9166666666666666
Giovanni's Pizza Carpinteria,ambience,34,22,0.6071428571428571
Yummy Bowl,food,61,10,0.8591549295774648
Main Street Pub & Eatery,food,38,11,0.7755102040816326
Pho 36,food,367,42,0.8973105134474327
Little Caesars Pizza,ambience,18,21,0.46153846153846156
La Taqueria Mexico,ambience,0,0,
La Famiglia Ristorante,price,17,8,0.68
Linda's Crab Shack,service,10,4,0.7142857142857143
OLIVIA,price,68,8,0.8947368421052632
Jasmine Thai Restaurant,service,111,6,0.9487179487179487
Cramer Bakery,food,104,15,0.8739495798319328
Cori's DogHouse,food,218,37,0.8549019607843137
Scaturro's Restaurant & Bar,ambience,26,3,0.896551724137931
Copia West County,price,2,6,0.25
La Fogata Mexican Restaurant,food,31,16,0.6595744680851063
Lucha II Authentic Mexican Food,price,17,8,0.68
St Louis Sports Zone,ambience,8,5,0.6153846153846154
China Gourmet,food,87,34,0.71900826446281
WingHouse Bar & Grill,food,49,19,0.7205882352941176
Swagruha Indian Restaurant,food,56,7,0.8888888888888888
Chancellors,food,30,7,0.8108108108108109
Raw Sushi,service,15,12,0.5555555555555556
Cafe Quiquiriqui,food,31,11,0.7380952380952381
Willie's Chicken Shack,food,77,15,0.8369565217391305
Cena,service,152,18,0.8941176470588236
Fujiyama,price,53,6,0.8983050847457628
Tinker's Burgers,service,51,15,0.7727272727272727
New York Bakery,food,57,2,0.9661016949152542
Einstein Bros. Bagels,ambience,102,43,0.7034482758620689
Bella T's Pizza,service,4,3,0.5714285714285714
Gabby's Bar and Grill,service,6,0,1.0
"We, The Pizza",service,22,1,0.9565217391304348
Phat Bites,ambience,75,34,0.6880733944954128
Vegan Tree,service,74,9,0.891566265060241
Del Pueblo Cafe,price,26,5,0.8387096774193549
El Taco Tote,service,33,5,0.868421052631579
Wild Ginger III,food,120,26,0.821917808219178
Far East Chinese Restaurant,price,4,0,1.0
Shlomo & Vitos Delicatessen,service,108,38,0.7397260273972602
Dylan's Sports Bar & Grill,price,1,1,0.5
Pho Tau Bay,ambience,13,0,1.0
Best Taste Chinese Restaurant,ambience,9,6,0.6
Sushi Xtreme,food,88,21,0.8073394495412844
China Court,food,7,6,0.5384615384615384
Cafe Fundamental,price,10,1,0.9090909090909091
Saint Louis Kolache,service,36,2,0.9473684210526315
Einstein Bros Bagels,price,3,2,0.6
Dolce Vita,service,77,3,0.9625
Bria & Latella's,food,40,2,0.9523809523809523
Panda House Chinese Restaurant,service,25,3,0.8928571428571429
Canton Express,price,4,0,1.0
Joe's Pizza & Pasta,ambience,9,3,0.75
Surah,service,16,2,0.8888888888888888
Golden Crust Pizza III,food,55,31,0.6395348837209303
Bonks Bar,ambience,14,3,0.8235294117647058
The Foodery,ambience,16,4,0.8
Pho Huong Viet,service,53,14,0.7910447761194029
La Casa Mexicana O'fallon,price,11,3,0.7857142857142857
Semo's Restaurant,price,2,1,0.6666666666666666
Sahara Grill,service,143,25,0.8511904761904762
Benny's Pizza,price,7,0,1.0
Tacos Don Roge,service,39,9,0.8125
Settimo Cielo,price,5,0,1.0
Dinic's Oven Roasted Beef and Pork,price,3,1,0.75
Al-Sham Restaurant,price,2,1,0.6666666666666666
China House Chinese Kitchen,food,11,4,0.7333333333333333
Spykes Bar and Grill,food,10,3,0.7692307692307693
Downingtown Pizza,price,3,0,1.0
Mazagan Moroccan Mediterranean Cuisine,service,5,0,1.0
Poke Express,ambience,17,1,0.9444444444444444
Linwood Pizza,service,8,1,0.8888888888888888
Hot Pot Cuisine,food,19,5,0.7916666666666666
Pho 9 - Pho Xinh,price,45,7,0.8653846153846154
Kampachi Sushi and Hibachi,food,20,6,0.7692307692307693
El Charro Cafe,ambience,119,36,0.7677419354838709
La Gran Colombia,service,6,4,0.6
Mandarin Inn,service,10,1,0.9090909090909091
Coast Tampa's Bay Cuisine,ambience,13,1,0.9285714285714286
Mexico City Grill,ambience,18,8,0.6923076923076923
Hibachi Buffet,food,33,27,0.55
Yeung Cajun Grill,food,10,2,0.8333333333333334
U-Swirl Frozen Yogurt,food,22,1,0.9565217391304348
Crisp Kitchen,food,43,9,0.8269230769230769
Rosemary Grill,food,32,6,0.8421052631578947
Camila's Pizzeria,food,29,8,0.7837837837837838
Malio's Prime Steakhouse,price,67,13,0.8375
Taste of Europe,food,42,2,0.9545454545454546
Marco Polo,ambience,47,12,0.7966101694915254
Three Kings Public House,ambience,7,4,0.6363636363636364
Old Point Tavern,service,107,19,0.8492063492063492
Lennys Subs,service,23,2,0.92
Kabob House,food,58,8,0.8787878787878788
The Fresh Grocer of LaSalle,ambience,1,4,0.2
BEAST Butcher & Block,ambience,51,2,0.9622641509433962
Vista Peru,price,27,5,0.84375
Valley Tavern,ambience,12,4,0.75
Restaurante Oaxaca,food,141,8,0.9463087248322147
Cornbread and Coffee,food,3,0,1.0
Tony Lukes Warminster,service,14,5,0.7368421052631579
Das Bevo,ambience,50,15,0.7692307692307693
Kabuto Japanese Steak Seafood & Sushi,ambience,23,14,0.6216216216216216
Phil's Bar B Que,service,9,2,0.8181818181818182
Pueblo Lindo,service,125,1,0.9920634920634921
Ted Peter's Famous Smoked Fish,service,131,34,0.793939393939394
San Pedro Tierra Mexican,food,69,6,0.92
Ameritage Bistro,price,2,1,0.6666666666666666
Bernardo's Mexican Food,service,6,1,0.8571428571428571
Towne Pizza Sub Shop,ambience,1,0,1.0
Poppy the Suffering Vegan,food,8,0,1.0
Mantra,service,3,1,0.75
Amelia's Tea & Holly,food,24,0,1.0
Ironwood Steakhouse,food,15,3,0.8333333333333334
The Keg Steakhouse + Bar - Windermere,food,29,9,0.7631578947368421
Gandolfos New York Deli,service,12,5,0.7058823529411765
Pho or Kuy Teav Noodle Shack,food,28,0,1.0
Catty Shack,ambience,12,1,0.9230769230769231
The Dewey Beach Bar & Grill,price,8,3,0.7272727272727273
Oranj Sushi Bar,food,28,15,0.6511627906976745
Eat Greek,ambience,25,3,0.8928571428571429
Il Tartufo,ambience,48,9,0.8421052631578947
China Village,price,12,1,0.9230769230769231
Big T’s Burger Bar,price,4,0,1.0
Balkan Express Restaurant,ambience,53,5,0.9137931034482759
Station Pizzeria,food,38,6,0.8636363636363636
Magazine Street,ambience,4,0,1.0
El Limon - Bryn Mawr,service,53,10,0.8412698412698413
Hawk's Corner Deli,food,27,5,0.84375
Hiro's Tokyo Japanese Steak House & Sushi Bar,price,0,1,0.0
Veganish,price,5,0,1.0
Smokin' Hot Barbeque,food,9,4,0.6923076923076923
Carnitas los Gordos,service,6,0,1.0
Pizza Jawn,ambience,18,1,0.9473684210526315
Hina Hot,food,21,9,0.7
Great Wall Chinese Restaurant,service,36,12,0.75
Fratelli's Pizza,service,9,6,0.6
E+Rose Wellness Cafe of Nashville,ambience,15,0,1.0
Josephines,service,4,0,1.0
Villa Rosa,service,23,4,0.8518518518518519
Costa Vida,ambience,32,4,0.8888888888888888
Wing Snob,service,12,0,1.0
Family Mediterranean Cuisine,service,53,3,0.9464285714285714
Hotshots Sports Bar & Grill - Fenton,service,12,5,0.7058823529411765
Corner Bistro,price,39,2,0.9512195121951219
Gemelli on Main,price,6,2,0.75
Fresh Fit Foods,price,3,1,0.75
King's Restaurant,service,22,6,0.7857142857142857
Vida Byob,service,79,12,0.8681318681318682
Rocco's Brick Oven Pizzeria,ambience,13,5,0.7222222222222222
Hokulia Shave Ice,price,10,0,1.0
Blue Nile,food,6,3,0.6666666666666666
Best Taste Chinese Restaurant,service,5,6,0.45454545454545453
Bob Dobbs,service,69,13,0.8414634146341463
Oatman House,service,5,0,1.0
Mi Pueblito,service,9,3,0.75
SIMPLICITY Cold Pressed Juice,price,1,0,1.0
Fatboy & Slim's,ambience,3,0,1.0
Cuisine India,price,5,0,1.0
Burritos & Beer,price,18,1,0.9473684210526315
Taco Daddy’s,ambience,1,0,1.0
Taylor's Pub at Nora,service,46,3,0.9387755102040817
The Big Easy Saloon,food,11,5,0.6875
La Caridad Bakery,ambience,5,1,0.8333333333333334
Kings China,food,12,7,0.631578947368421
Mimi's Cafe,ambience,31,14,0.6888888888888889
The Bridge Coffee House,ambience,19,0,1.0
Wade's,service,0,0,
Sabatino's Grill,service,11,0,1.0
Nick's Famous Pizza,service,3,2,0.6
Red Apple,food,24,5,0.8275862068965517
Lazeez Indian cuisine,food,72,5,0.935064935064935
The Irish Times,ambience,22,4,0.8461538461538461
Daddy Hot Bird,food,13,3,0.8125
Pistolese's Pizzeria,food,30,3,0.9090909090909091
Alvarez Authentic Latin Food 2,price,9,1,0.9
Everything Bagel Cafe,ambience,23,0,1.0
Marios Trattoria And Bar,service,12,1,0.9230769230769231
Ayoki Japan,service,5,0,1.0
Cafe Rio Mexican Grill,price,17,11,0.6071428571428571
Furr's Family Dining,service,19,4,0.8260869565217391
Sally,ambience,24,0,1.0
Cafe Baladi,service,19,0,1.0
MickeyRay's,price,7,2,0.7777777777777778
Small Town Pizza & Sub Co.,ambience,9,6,0.6
Green Garden,price,18,1,0.9473684210526315
Cafe Breve,price,1,1,0.5
Pita Land Mediterranean Grille,service,23,5,0.8214285714285714
The Cheese Shack,service,10,0,1.0
Nashville Night Life,food,13,1,0.9285714285714286
Blue Toro,service,28,3,0.9032258064516129
Milmont Pizza,food,20,1,0.9523809523809523
Garbonzo's Pizza,food,18,6,0.75
North Shore Hot Dog,price,1,0,1.0
Prost Reno Biergarten,price,13,1,0.9285714285714286
Mamenche's,service,20,1,0.9523809523809523
Beef Connection Steakhouse,service,7,0,1.0
Pat & Mike's Family Restaurant,ambience,4,1,0.8
My Just Desserts,service,32,3,0.9142857142857143
Beef Connection Steakhouse,,6,0,1.0
Fox's Donut Den,,46,6,0.8846153846153846
FroYo Frozen Yogurt,,1,1,0.5
Le Viet Restaurant,,49,10,0.8305084745762712
Red Lobster,,156,58,0.7289719626168224
Taqueria Feliz,,160,24,0.8695652173913043
Schnucks Crestwood,,3,0,1.0
Lorenzo & Sons Pizza,,158,33,0.8272251308900523
Pisa Pizza & Pasta,,2,1,0.6666666666666666
Beholder,,47,7,0.8703703703703703
Osteria Natalina,,80,4,0.9523809523809523
Duck Soup Cafe,,9,2,0.8181818181818182
Dominics Pizzeria,,3,1,0.75
Perla,,75,5,0.9375
Morty's Comedy Joint,,26,4,0.8666666666666667
Chicago Fish Chicken Gyro,,5,0,1.0
Little Love Burger,,2,0,1.0
Fresh Kitchen New Tampa,,14,1,0.9333333333333333
Syberg's O'Fallon,,9,6,0.6
Yo'R So Sweet,,7,1,0.875
Public Service,,17,4,0.8095238095238095
Wok Fire & Grill,,11,3,0.7857142857142857
La Monarca,,18,4,0.8181818181818182
HomeTown Buffet,,1,1,0.5
Del Pietro's,,6,3,0.6666666666666666
Chow Express,,5,3,0.625
Marshalton Inn,,4,0,1.0
Thin & Crispy,,12,2,0.8571428571428571
Papa Fattoush Restaurant,,48,5,0.9056603773584906
Pho Kien Giang 2,ambience,15,1,0.9375
Dress It,,11,1,0.9166666666666666
Blinkers Beachside,,58,1,0.9830508474576272
What a Crock Meals,,11,1,0.9166666666666666
Charlie Gitto's Downtown,,49,14,0.7777777777777778
Mangia Bene Pizzeria,,28,11,0.717948717948718
Fusion Bay,,21,4,0.84
The Bubble House,,22,15,0.5945945945945946
Sushi Hayashi,,9,2,0.8181818181818182
Battista's Calzone,,32,3,0.9142857142857143
Two Cousins Pizza,,17,3,0.85
Bluestone Lane,,9,2,0.8181818181818182
Thai Station Restaurant,,29,6,0.8285714285714286
CoCo Fresh Tea and Juice,,5,0,1.0
Token Ramen & Kung Fu Tea,,51,8,0.864406779661017
Red-L Pizza,,11,0,1.0
Mike's Steaks,,14,1,0.9333333333333333
Tarzan's Tacos,,4,0,1.0
Georgine's Restaurant,,17,9,0.6538461538461539
Amir,food,36,2,0.9473684210526315
Tang's Halal Chinese Restaurant,,3,1,0.75
852 Hong Kong Cafe,,10,0,1.0
Man vs Fries,,0,0,
Payaathai Cuisine,food,22,3,0.88
Bistreaux Metairie,,0,0,
Eddie's Wood-Fired Dogs,,4,0,1.0
Blake's On Poydras,,12,4,0.75
4 Seasons Grill Mexican Restaurant,food,13,1,0.9285714285714286
Ming Ming Tea Cafe,,37,2,0.9487179487179487
Michael's Grill,,31,5,0.8611111111111112
The Local Deli & Cafe,,9,0,1.0
Luxor,,11,2,0.8461538461538461
Four Points by Sheraton Tucson University Plaza,,1,0,1.0
Pho Xinh,,1,0,1.0
Rosalita's Backyard Tacos,,14,1,0.9333333333333333
Famous Szechuan Pavilion,,7,2,0.7777777777777778
Ooh Wee Bar-B-Q,,10,1,0.9090909090909091
Sally Starr's Pizza,,3,0,1.0
Koy Restaurant,,9,2,0.8181818181818182
An Del Sol,,6,3,0.6666666666666666
Barbacoa,,5,0,1.0
Brocks Wings & Things,,2,2,0.5
Krispy Krab,,3,1,0.75
Big Mama's Soul Food,,5,0,1.0
The Lure Ono,,2,0,1.0
Powdered Sugar,food,56,9,0.8615384615384616
Country Pizza Italian Grill,ambience,10,4,0.7142857142857143
WEPAA RESTAURANT,service,26,9,0.7428571428571429
Hot Spot Diner,service,25,3,0.8928571428571429
Jersey's Cafe,food,124,27,0.8211920529801324
McDonald's,food,476,601,0.44196843082636955
Haverford Grill & Soul,price,6,1,0.8571428571428571
Madeline Pizza and Pasta,ambience,9,7,0.5625
Wildflower,ambience,537,50,0.9148211243611585
Taste Of Boston,ambience,5,1,0.8333333333333334
Tropical Smoothie Cafe,ambience,30,18,0.625
Rumba Island Bar & Grill,food,313,70,0.8172323759791122
Market Street Grill,ambience,60,9,0.8695652173913043
Oceano Bistro,food,446,99,0.818348623853211
Auld Dubliner,service,45,6,0.8823529411764706
Ponzo's Italian Food,service,54,6,0.9
Ca' Dario Pizzeria,food,125,21,0.8561643835616438
Rocket Tacos,food,3,7,0.3
Satsuma Café,food,521,65,0.8890784982935154
Golden Oak,ambience,20,1,0.9523809523809523
Kims Restaurant,service,68,0,1.0
Vitello's,food,44,7,0.8627450980392157
Kogilicious,price,40,3,0.9302325581395349
The Juice Merchant,ambience,4,5,0.4444444444444444
Lee Roy Selmon's,food,80,17,0.8247422680412371
Quotations,food,137,38,0.7828571428571428
Auspicious Chinese Restaurant,price,9,1,0.9
Pho Orchid,food,455,68,0.869980879541109
400 Olive,service,19,4,0.8260869565217391
Marjie's Grill,food,260,51,0.8360128617363344
Black Rock Bar & Grill,price,54,11,0.8307692307692308
The Oakmont,ambience,95,17,0.8482142857142857
OORI,food,64,20,0.7619047619047619
Scarpetta,service,159,16,0.9085714285714286
Toyotomi Sushi Bar &  Asian Cuisine,food,45,8,0.8490566037735849
KC Prime,service,139,22,0.8633540372670807
Vietnam Restaurant,service,158,21,0.88268156424581
Quinn's Restaurant & Lounge,food,83,21,0.7980769230769231
El Tio Mexican Restaurant,price,21,1,0.9545454545454546
Thai Square Restaurant,food,246,39,0.8631578947368421
Petite Chou Bistro and Champagne Bar,ambience,205,31,0.8686440677966102
Noodlebox,food,27,7,0.7941176470588235
Flanigan's Boathouse,price,53,2,0.9636363636363636
Kite & Key,service,278,28,0.9084967320261438
Steak ’n Shake,ambience,34,51,0.4
Tacos Don Roge,food,155,29,0.842391304347826
Goldy's Corner,food,61,19,0.7625
PDQ Westchase,price,7,3,0.7
Aldertos Fresh Mexican Food,food,281,58,0.8289085545722714
High Ridge Family Diner,service,8,0,1.0
Jumbo & Delicious,service,61,5,0.9242424242424242
Rosalita's Cantina,price,89,18,0.8317757009345794
Noble Roman's Craft Pizza & Pub,food,53,11,0.828125
The Bagel Factory,service,8,1,0.8888888888888888
Mari Chuy's - Midtown,price,62,9,0.8732394366197183
La Gardenia,food,79,9,0.8977272727272727
Prince's Hot Chicken Shack,ambience,7,1,0.875
Steak & Pasta House,price,33,2,0.9428571428571428
Helen's Hot Chicken,food,50,12,0.8064516129032258
Big Sharks Fish and Chicken,food,19,2,0.9047619047619048
Kinme,ambience,46,3,0.9387755102040817
Ichiban Japanese Restaurant,food,103,40,0.7202797202797203
Dulcet Restaurant & Lounge,service,43,9,0.8269230769230769
